C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2017-07-20T00:00:00.000Z,0.7828522324562073,0.8956742882728577,0.8440893243153887,0.022154220215030638,690,315,0.843390166759491,0.8159624338150024,0.8747613430023193,0
2017-07-25T00:00:00.000Z,0.8187845349311829,0.9071938395500183,0.8629760934511821,0.017772068381732828,690,315,0.8638392686843872,0.8405796885490417,0.887520968914032,0
2017-07-30T00:00:00.000Z,0.2616560459136963,0.8812572956085205,0.6221681797504423,0.1824493576251829,690,315,0.655322253704071,0.3497876822948456,0.8316086530685425,0
2017-08-04T00:00:00.000Z,0.7834101319313049,0.8870097398757935,0.8299289008776346,0.021449184308004722,690,315,0.829029381275177,0.8033763766288757,0.8570219874382019,0
2017-08-09T00:00:00.000Z,-0.0615384615957737,1,0.7280711532731855,0.2512821430787617,690,315,0.7740384340286255,0.3177570104598999,1,4.000000000000002
2017-08-24T00:00:00.000Z,0.7980732321739197,0.8973491191864014,0.8438305958112076,0.018280192245537206,690,315,0.8438631892204285,0.8188787698745728,0.8680720925331116,0
2017-08-29T00:00:00.000Z,0.7846607565879822,0.8916147947311401,0.8457155049641926,0.020662644555168044,690,315,0.8483548164367676,0.8185631632804871,0.8723241686820984,0
2017-09-23T00:00:00.000Z,0.7963927984237671,0.8842740654945374,0.8482149108250935,0.01784003487221901,690,315,0.8500202894210815,0.8223880529403687,0.8700894713401794,0
2017-10-08T00:00:00.000Z,0.6692307591438293,0.9834024906158447,0.8708318823178612,0.047917568254431456,690,315,0.8721804618835449,0.8203592896461487,0.9287211894989014,0
2017-10-18T00:00:00.000Z,0.6448224186897278,0.8973627686500549,0.8057056736946103,0.04626390538555665,690,315,0.8066260814666748,0.7434679269790649,0.8638184070587158,0
2017-11-27T00:00:00.000Z,0.12229885160923004,0.324783593416214,0.2064351432720821,0.033137437659822216,690,315,0.20217952132225037,0.16700316965579987,0.24974924325942993,2.6666666666666647
2017-12-07T00:00:00.000Z,0.512148916721344,0.8633353114128113,0.7255165464083353,0.06544942782879172,690,315,0.7268847823143005,0.642835795879364,0.8093406558036804,0
2018-01-21T00:00:00.000Z,0.6244486570358276,0.9447779059410095,0.8500978501637778,0.06353787157535087,690,315,0.861168384552002,0.7685748934745789,0.9175515174865723,0
2018-03-22T00:00:00.000Z,0.2731829583644867,0.7451103925704956,0.44744069862365715,0.10241637254000346,690,315,0.43786296248435974,0.3220755159854889,0.5839483141899109,10.66666666666668
2018-04-06T00:00:00.000Z,0.5588380098342896,0.8451882600784302,0.7528645690282187,0.051998215849785284,690,315,0.7597367167472839,0.6882463693618774,0.8130733966827393,0
2018-04-21T00:00:00.000Z,0.5965447425842285,0.8351093530654907,0.7515573549270629,0.03941790022034676,690,315,0.7569444179534912,0.700440526008606,0.7983739972114563,0
2018-04-26T00:00:00.000Z,0.1468392163515091,0.5488331913948059,0.4533332458337147,0.0670164565782227,690,315,0.46875,0.39086294174194336,0.5107212662696838,0
2018-05-06T00:00:00.000Z,0.6809549927711487,0.860946774482727,0.7951165978113816,0.028332701293684752,690,315,0.7961914539337158,0.7662875056266785,0.8307134509086609,0
2018-05-26T00:00:00.000Z,0.6013234257698059,0.8147961497306824,0.7278693337440486,0.032588329795638186,690,315,0.7248722314834595,0.6903508901596069,0.7734148502349854,0
2018-05-31T00:00:00.000Z,0.299018532037735,0.733292281627655,0.541868997891744,0.10653686983362841,690,315,0.5577026009559631,0.3764553666114807,0.6647038459777832,0.8
2018-06-15T00:00:00.000Z,0.2076372355222702,0.6184378862380981,0.3792004160483678,0.10311213705063801,690,315,0.3565915524959564,0.25896167755126953,0.5254386067390442,0
2018-07-10T00:00:00.000Z,0.43310049176216125,0.7635281682014465,0.642303567886353,0.0676726265860454,690,315,0.6646360754966736,0.5449735522270203,0.7085961103439331,0
2018-07-25T00:00:00.000Z,0.6228986978530884,0.8241758346557617,0.7641269744237258,0.028142511781229708,690,315,0.7654109597206116,0.733021080493927,0.7971571087837219,0
2018-07-30T00:00:00.000Z,0.6535044312477112,0.8600000143051147,0.7818170299530032,0.030299187792444383,690,315,0.782503604888916,0.7494669556617737,0.8193215131759644,0
2018-08-04T00:00:00.000Z,0.45126354694366455,0.7037037014961243,0.6193485328356427,0.038765323662036826,690,315,0.6201117038726807,0.5730994343757629,0.6686868667602539,0
2018-08-09T00:00:00.000Z,0.44334277510643005,0.8430493474006653,0.6894000905354818,0.10028203076041588,690,315,0.7149489521980286,0.5399028658866882,0.800000011920929,0
2018-08-19T00:00:00.000Z,0.55474454164505,0.7962085604667664,0.6985786444346108,0.032664081298798796,690,315,0.6991150379180908,0.6637167930603027,0.7382715940475464,0
2018-08-29T00:00:00.000Z,0.6854066848754883,0.8958976864814758,0.8247943367958062,0.030232219990256232,690,315,0.8271308541297913,0.7874784469604492,0.85628741979599,0
2018-09-08T00:00:00.000Z,0.031869079917669296,0.7328519821166992,0.4221205052832765,0.17036689032670715,690,315,0.43484625220298767,0.14454276859760284,0.6319018602371216,0
2018-09-13T00:00:00.000Z,0.6163366436958313,0.8133615851402283,0.7548537354469299,0.029332277015523663,690,315,0.7589802742004395,0.7223587036132812,0.7850953340530396,0
2018-09-18T00:00:00.000Z,0.6594203114509583,0.8742574453353882,0.8056673046747845,0.029414537789157626,690,315,0.810317873954773,0.7741273045539856,0.835192084312439,0
