C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2018-09-08T00:00:00.000Z,0.639401912689209,0.7942238450050354,0.7186915912187303,0.03175493402153874,594,183,0.7200447916984558,0.6737682819366455,0.75868159532547,0
2018-09-18T00:00:00.000Z,0.7877628803253174,0.8807947039604187,0.8353766817826126,0.017738158588427366,594,183,0.833832323551178,0.8135095238685608,0.8590878248214722,0
2018-09-28T00:00:00.000Z,0.841691255569458,1,0.9183841966944598,0.028865664874864843,594,183,0.9173405170440674,0.884567141532898,0.9570552110671997,0
2018-10-03T00:00:00.000Z,0.7739899158477783,0.8727404475212097,0.8301029459113336,0.017948553864013155,594,183,0.8315450549125671,0.8052356243133545,0.8507042527198792,0
2018-10-13T00:00:00.000Z,0.5411422848701477,0.789287805557251,0.7103956694150496,0.037299368316702275,594,183,0.7132406830787659,0.6661441922187805,0.7553324699401855,0
2018-10-18T00:00:00.000Z,-0.09139465540647507,0.4694628417491913,0.2386046371789796,0.09396237337272001,594,183,0.24338485300540924,0.1298229694366455,0.35591956973075867,0
2018-10-23T00:00:00.000Z,0.5988112688064575,0.8479048013687134,0.7778958489715039,0.04537461848201991,594,183,0.7861873507499695,0.7248120307922363,0.8231965899467468,0
2018-12-27T00:00:00.000Z,0.43095457553863525,0.8169414401054382,0.6748923989253033,0.07324477477189228,594,183,0.6846388578414917,0.577531635761261,0.7666417360305786,0
2019-01-01T00:00:00.000Z,0.672281801700592,1,0.9618702970282004,0.048677934559153924,594,183,0.9770334959030151,0.9052631855010986,1,0
2019-01-11T00:00:00.000Z,0.24659231305122375,1,0.797524351853233,0.14465444402780692,594,183,0.8245614171028137,0.614973247051239,0.9539170265197754,0
2019-02-15T00:00:00.000Z,0.5403949618339539,0.8913043737411499,0.795593528416905,0.06313874859053173,594,183,0.8121863603591919,0.7079303860664368,0.8619008660316467,0
2019-03-12T00:00:00.000Z,0.18692098557949066,0.6546949148178101,0.4237704980402389,0.08732489798195193,594,183,0.42515990138053894,0.3060133755207062,0.5361480712890625,0
2019-03-22T00:00:00.000Z,0.47628268599510193,0.75,0.635068629489908,0.05428782548980008,594,183,0.6429118514060974,0.5561066269874573,0.7011247873306274,0
2019-04-01T00:00:00.000Z,0.45876604318618774,0.7772648334503174,0.661984314158595,0.06153039479554965,594,183,0.6725521683692932,0.5751445293426514,0.7309608459472656,0
2019-04-16T00:00:00.000Z,0.4834834933280945,0.8183014988899231,0.7001507714427002,0.06490292702902312,594,183,0.7122060656547546,0.6144349575042725,0.7714576125144958,0
2019-04-21T00:00:00.000Z,0.4511204957962036,0.8063187003135681,0.7098627732182946,0.06440709726038112,594,183,0.7246192693710327,0.6196382641792297,0.778477668762207,0
2019-05-01T00:00:00.000Z,0.0028818442951887846,0.6784631013870239,0.5634293477464505,0.1117532946926287,594,183,0.6041666865348816,0.4062176048755646,0.6511430740356445,0
2019-06-10T00:00:00.000Z,0.7219387888908386,0.8662600517272949,0.7996516234973341,0.025617236491478304,594,183,0.8016260266304016,0.7657961249351501,0.8337091207504272,0
2019-06-30T00:00:00.000Z,0.7960546016693115,0.9147647619247437,0.8696613558307477,0.02308709481521728,594,183,0.871772050857544,0.8386138677597046,0.9005439281463623,0
2019-07-05T00:00:00.000Z,0.795780599117279,0.9103255271911621,0.8575438893334416,0.02403927379541739,594,183,0.8577362298965454,0.8262910842895508,0.8874841928482056,0
2019-07-20T00:00:00.000Z,0.8001068830490112,0.9143529534339905,0.857295159585865,0.023926563853199703,594,183,0.857029378414154,0.8258681297302246,0.8906447291374207,0
2019-07-25T00:00:00.000Z,0.748706579208374,0.8833780288696289,0.8171214356909702,0.027338014706778022,594,183,0.8144588470458984,0.7823502421379089,0.8569509983062744,0
2019-07-30T00:00:00.000Z,0.7637795209884644,0.8964920043945312,0.8311760358856839,0.02636440993619133,594,183,0.8287128806114197,0.7968127727508545,0.8660627603530884,0
2019-08-04T00:00:00.000Z,0.7891916036605835,0.895378828048706,0.8410887187414794,0.02211229278933188,594,183,0.8394758105278015,0.8141545057296753,0.8701825737953186,0
2019-08-19T00:00:00.000Z,0.7910839319229126,0.9000297784805298,0.8568857072913727,0.021743926112549997,594,183,0.8580183982849121,0.8271438479423523,0.8865405917167664,0
2019-09-03T00:00:00.000Z,0.46324875950813293,0.723291277885437,0.5412730272959039,0.04870223030078164,594,183,0.531613290309906,0.4869246780872345,0.6141242980957031,0
2019-09-13T00:00:00.000Z,0.8334304094314575,0.9395655989646912,0.8773173330184025,0.01793327301559642,594,183,0.8751576542854309,0.8560523390769958,0.8998779058456421,0
2019-10-08T00:00:00.000Z,0.8368932008743286,0.9836065769195557,0.8980833679220103,0.021256317718496148,594,183,0.8973684310913086,0.8720872402191162,0.92528235912323,0
2019-10-23T00:00:00.000Z,0.7029703259468079,0.9632062911987305,0.8705692675571959,0.037093953735138616,594,183,0.8776223659515381,0.8214285969734192,0.910850465297699,0
2019-11-22T00:00:00.000Z,0.48195329308509827,0.8961899280548096,0.7849669326685924,0.06707989022096027,594,183,0.8031980395317078,0.6881594657897949,0.8510444760322571,0
2019-12-07T00:00:00.000Z,0.47611203789711,0.9124797582626343,0.7788796833106777,0.06696350265331041,594,183,0.7856476902961731,0.7083333134651184,0.8501628637313843,0
2020-01-01T00:00:00.000Z,0.5411392450332642,0.9036697149276733,0.8068730876103518,0.06169623925437548,594,183,0.819639265537262,0.7313182353973389,0.8661929965019226,0
